net,length_um
_03841_,1121.34
net45,821.875
net46,817.76
_03733_,792.33
clknet_0_i_clk,771.45
_03811_,728.13
_03835_,710.9
_03814_,689.14
net38,685.94
_03832_,680.94
net22,659.91
_04570_,657.24
_04572_,645.22
_03750_,631.32
_03863_,630.81
_06741_,628.75
_04576_,623.96
_03776_,615.34
_04568_,612.56
_08658_,607.87
_03817_,607.63
_06743_,593.14
net44,591.19
net39,588.9
_04566_,588.05
_06731_,585.065
net37,584.57
_06747_,584.42
net12,581.8
_06753_,578.92
net52,577.84
_04580_,574.13
_06745_,572.21
net31,567.98
_04396_,558.68
_06755_,554.34
net43,549.28
_02972_,546.9
net47,546.89
net25,543.66
_06762_,541.31
net14,534.565
_04539_,533.12
_04393_,533.01
net42,532.95
_03796_,531.8
_03753_,530.14
net32,528.055
_02974_,524.9
net64,523.73
net3,521.77
_04562_,517.2
_04558_,517
_09022_,514.48
net18,513.2
clknet_4_7__leaf_i_clk,512.89
_04578_,512.57
_02970_,512.52
net53,511.59
_06751_,510.52
net6,508.66
_03226_,508.39
net19,507.88
_04463_,507.69
_06758_,507.3
_04537_,507.225
_02968_,507.04
net41,506.6
_03833_,506.23
_04583_,505.765
_08948_,505.37
_04360_,504.5
_04556_,501.865
net63,501.76
_06733_,500.07
net26,498.11
_04596_,497.92
_02966_,497.27
_03779_,496.04
_04402_,495.91
_04389_,495.03
_04589_,494.35
_04554_,491.56
_03189_,491.24
_03800_,490.66
_04399_,490.15
_04560_,486.54
_03742_,486.24
_06708_,486.165
_02980_,485.65
_06764_,485.4
_03262_,484.49
net65,481.41
_02964_,481.39
_06729_,480.94
net62,480.53
_03298_,480.33
_08701_,479.58
_04408_,477.32
_03821_,477.19
net54,476.43
_03828_,475.9
_06710_,475.66
net51,475.05
clknet_4_0__leaf_i_clk,474.12
_04587_,473.5
_03839_,471.65
clknet_4_2__leaf_i_clk,471.31
_03820_,471.26
_03785_,470.12
_06714_,469.45
_05769_,468.55
_04405_,468.31
_08699_,467.55
_04478_,465.54
_05658_,464.35
_03805_,464.17
_04379_,463.26
_04533_,462.455
_06735_,462.2
